Blockchain and Distributed Ledger Technology	ブロックチェーンと分散台帳テクノロジー
Note: In Hyperledger Fabric, every endorser (or endorsing node) is also a committer (committing node).	注記：Hyperledger Fabricでは、 各endorser（またはendorsing node）は、committerでもあります。
So, while the endorsers are the ones whose endorsement for the transaction the client seeks, later on, both endorsers and committers ultimately commit the transaction to the ledger.	endorserはクライアントが要求するトランザクションをendorseします。 一方、endorserとcommitterの両方が、台帳にトランザクションを最終的にコミットします。
● Committing Peer/Committer is a peer which validates transactions after endorsement and ordering to apply the results of the transaction onto the local ledger.	• Committing peer / Committerは、endorsementとorderingの後にトランザクションを検証し、トランザクションの結果をローカルの台帳に適用するためのpeerです。
At this point, the valid transactions are immutably written to the ledger.	この時点で、有効なトランザクションは台帳に永久に書き込まれます。
Note: Every endorsing peer is also a committer, but not the other way around.	注記：すべてのendorserはcommitterでもありますが、その逆は真ではありません。
There are committers that are not endorsers.	endorserではないcommitterもあります。
Identity and Membership Services	ID管理とメンバーシップ サービス
Hyperledger Fabric is a permissioned blockchain, in the sense that all participants have known identities.	Hyperledger Fabricは、すべての参加者に既知のIDがあるという意味でパーミッションド ブロックチェーンです。
Especially in regulated markets, many use cases require complying with some strict KYC (Know Your Customer) requirements.	特に規制された市場では、多くのユースケースでいくつかの厳しいKYC (Know Your Customer、顧客確認）要件を順守する必要があります。
These KYC requirements mandate a set of minimum checks that an organization has to conduct against a customer, before that customer is onboarded onto the system .	これらのKYC要件は、顧客が「システムにオンボードする」前に、その顧客に対して組織が実施しなければならない一連の最低限のチェックを義務付けています（たとえば、銀行で口座開設をする際の本人確認手続きのようなものです）。
To enable permissioned networks, Hyperledger Fabric provides an identity and membership service that manages user IDs and authenticates all participants on the network.	パーミッションド ネットワークを有効にするために、Hyperledger Fabricは、ユーザーIDを管理し、ネットワーク上のすべての参加者を認証 (authentication) するIDおよびメンバーシップサービスを提供しています。
Access control lists can be used to provide additional layers of permission through authorization of specific network operations.	アクセス制御リストを使用し、特定のネットワーク操作を認可 (authorization) することで、追加のパーミッション層を提供できます。
For example, a specific user ID could be permitted to invoke a chaincode function, but blocked from deploying new chaincode.	例えば、特定のユーザーIDがチェーンコード機能を呼び出すことを許可されていても、新しいチェーンコードのデプロイがブロックされている可能性があります。
Because different industries and different organizations have different requirements, Hyperledger Fabric's modularity comes into play here with a pretty flexible membership service mechanism, which we will describe next.	業種や組織が異なれば要件も異なるため、Hyperledger Fabricのモジュール性は、次に説明する非常に柔軟なメンバーシップ サービス メカニズムによって実現されています。
The Hyperledger Fabric module that is in charge of participant registration, enrollment and its authentication is the Membership Services component.	参加者の記載、登録、およびその認証を担当するHyperledger Fabricモジュールが、メンバーシップ サービス（Membership Services）コンポーネントです。
Fabric Certificate Authority	Fabric Certificate Authority（認証局）
Hyperledger Fabric comes with a default Certificate Authority (CA) that is provided both in code or via a pre-built Docker image with every Hyperledger Fabric release.	Hyperledger FabricにはデフォルトのCertificate Authority（CA：認証局）が付属しています。 これは、コードで提供されるか、またはすべてのHyperledger Fabricリリースで事前にビルドされたDockerイメージを介して提供されます。
It is released under the Hyperledger Fabric CA component.	CAは、Hyperledger Fabric CAコンポーネントの下でリリースされています。
This component is used for registering and enrolling nodes that are part of the blockchain.	このコンポーネントは、ブロックチェーンの一部であるノードのRegistrationとEnrollmentに使用されます。
Effectively, it is responsible for creating Enrollment Certificates (ECerts) in the form of standard X.509 v3 to participants that are granted the permission to join and participate in the (permissioned) blockchain network.	事実上、（パーミッションド）ブロックチェーン ネットワークに参加する許可を得た参加者に対して、標準X.509 v3の形式でEnrollment Certificates（登録証明書：ECerts）を作成する責任があります。
Fabric CA, the Certificate Authority, is a service needed for issuing the (Enrollment) certificates to authenticated participants.	認証局であるFabric CAは、認証された参加者にその（Enrollment）証明書を発行するために必要なサービスです。
It is important to know that, as part of Hyperledger Fabric's modular design, Fabric CA is just a reference implementation for a CA, and anyone can extend, develop his/her own, and replace it if needed.	重要な点は、Hyperledger Fabricのモジュール設計の一環として、Fabric CAがCAの単なる参照実装であり、必要に応じて誰でも拡張や独自開発、および置き換えが可能であることを知っておくことです。
Next, we will introduce the Membership Services and the Membership Service Provider.	次に、メンバーシップ サービスとメンバーシップ サービス プロバイダー (Membership Service Provider) を紹介します。
Membership Services and the Membership Service Provider	メンバーシップ サービスとメンバーシップ サービス プロバイダー
Hyperledger Fabric supports a pluggable interface which is called the Membership Service Provider (MSP).	Hyperledger Fabricは、メンバーシップ サービス プロバイダー（Membership Service Provider: MSP）と呼ばれるプラガブルインターフェイスに対応しています。
The Membership Service Provider manages the authentication of identity and permission management, which are key for knowing when or whether the CA should actually issue a certificate.	メンバーシップ サービス プロバイダーは、IDの認証とパーミッション管理を管理します。 これは、CAがいつ証明書を実際に発行するのか、あるいは発行するのかどうかを判断するための重要なポイントです。
There are various Membership Services implementations.	メンバーシップ サービスには、さまざまな実装があります。
Hyperledger Fabric comes with a default one, but others can write their own or integrate with other implementations that adhere to the Membership Services Provider interface.	Hyperledger Fabricにはデフォルトのものが付属していますが、他の人が独自に作成したり、メンバーシップ サービス プロバイダー インターフェイスに準拠した他の実装とも統合できます。
Membership Service Provider (MSP) is a component that aims to offer an abstraction of a membership operation architecture.	メンバーシップ サービス プロバイダー（MSP）は、メンバーシップ操作アーキテクチャの抽象化を提供することを目的としたコンポーネントです。
A Hyperledger Fabric blockchain network can be governed by one or more MSPs.	Hyperledger Fabricブロックチェーンネットワークは、1つ以上のMSPによって管理できます。
This provides modularity of membership operations, and interoperability across different membership standards and architectures.	これにより、メンバーシップ操作のモジュール化し、さまざまなメンバーシップ標準やアーキテクチャ間の相互運用性を提供します。
The Distributed Ledger in Hyperledger Fabric	Hyperledger Fabricの分散台帳 I
The distributed ledger in Hyperledger Fabric is comprised of two parts.	Hyperledger Fabricの分散台帳は2つの部分から構成されています。
We have the World State and the Transaction Log.	1つはワールドステート (World State)、もう1つはトランザクション ログ (Transaction Log) です。
● World State	• ワールドステート
Effectively, when we look at the World State , or put differently, the current state of the world , we are looking at a versioned list of key/value pairs.	効果的に、“ワールドステート”、別の言い方をすれば、現在の「世界の状態」を見るということは、バージョン管理されたキー/値のペアリストを見ていることになります。
The value can be almost anything (it is actually a Binary Large OBject - BLOB or JSON), while the key is a unique identifier.	値はほとんど何でもかまいません (実際にはBinary Large Object - BLOBまたはJSON) が、キーはユニークな識別子です。
It is typical to represent an asset or a parameter using the key , and then to assign it an initial value, update it when needed, and even discard it in cases where it is not needed anymore.	アセットあるいはパラメーターを “キー”で表してから、初期値を割り当て、必要に応じて更新し、不要になった場合は破棄するのが一般的です。
● Transaction Log	• トランザクション ログ
The Transaction Log is a collection of blocks containing a sequence of transactions.	トランザクション ログは、一連のトランザクションを含むブロックの集まりです。
Transactions include a set of before and after key/value pairs - typically, this is referred to as an RW set (Read-Write set).	トランザクションには、前後のキーと値のペアのセットが含まれます。 通常、これはRWセット（Read-Writeセット）と呼ばれます。
Each block (other than the first one) includes a hash of the previous block.	（最初のもの以外の）各ブロックには、前のブロックのハッシュが含まれます。
This implies that each block contains a reference to all previous blocks through the hash of the previous block.	つまり、各ブロックに前のブロックのハッシュを介して、前のすべてのブロックへの参照が含まれるわけです。
The Transaction Log is an immutable, append-only, ordered list of all transactions, which is stored on each peer.	トランザクションログは、すべてのトランザクションの不変でアペンド（追加）に特化した、順序付けされたリストで、各peerに格納されています。
Each peer maintains a copy of the distributed ledger, which includes a log of transactions and the world state results stored in a database as key/values pairs.	各peerは、分散台帳のコピーを保持しています。 これには、トランザクションのログと、キー/値のペアとしてデータベースに格納されたワールドステートの結果が含まれています。
As you can see below, a ledger state with key=CAR1 and value=Audi.	以下に示すように、ステートはkey=CAR1、value=Audiです。
There is a ledger state with key=CAR2 and a more complex value {model:BMW, color=red, owner=Jane}.	key=CAR2で、より複雑なvalue {model:BMW, color = red, owner = Jane}のステートがあります。
The ledger state is used to record application information to be shared via the blockchain.	ステートは、ブロックチェーンを介して共有されるアプリケーション情報を記録するために使用されます。
This example shows ledger states for two cars, CAR1 and CAR2.	この例では、2台の車CAR1とCAR2のステートを示しています。
You can see that states have a key and a value.	ステートにはキーと値があることがわかります。
Your application programs invoke chaincode which access states via simple APIs - they get, put and delete states using the key (e.g. CAR1 , set value to be Mazda ).	あなたのアプリケーション プログラムは、シンプルなAPIを介してステートにアクセスするチェーンコードをinvoke（起動）します - つまり、プログラムは、キーを使用してステートを取得、書き込みおよび削除します（例：”CAR1を値を”Mazda”に設定）。
Consensus algorithms ensure consistency between all copies of the ledger, so that members will agree to the upcoming changes to the state, in the form of reaching a consensus - but we will discuss this in much more detail later on.	コンセンサス アルゴリズムは台帳のすべてのコピー間の一貫性を保証するため、メンバーはコンセンサスに達するという形で、ステートの今後の変更へ同意することになります。
We will also interact with the ledger and the world state as part of the labs, but first let's take a closer look at the World State.	これについては後で詳しく説明します。 演習の一部として台帳やワールドステートにも関係しますが、まずワールドステートについてさらに詳しく見てみましょう。
Understanding the World State	ワールドステートについて理解する
The World State component is the aggregate state of the ledger at a given point in time.	ワールドステートは、ある特定の時点における台帳のステートの集合体を表すコンポーネントです。
It is the result of applying the whole Transaction Log, one transaction at a time, to the initial state of the ledger at its birth, when no state existed.	ステートが何も存在しなかった初期状態の台帳に対して、すべてのトランザクション ログを1つずつ順番に適用した結果がワールドステートです。
However, the World State is used by chaincode and queries to get at the current state of the ledger; this is done instead of applying all the transactions serially to get at the current state, for efficiency.	チェーンコード（chaincode）やクエリ（query）は、台帳の現在のステートを取得する時、すべてのトランザクションを順番に適用する代わりに、ワールドステートを参照します。 これは効率化のために行われます。
The Transaction Log contains a record of all state transitions to the World State.	トランザクション ログには、ワールドステートへのすべてのステート トランジションの記録が含まれています。
The World State is stored in a database of key-value pairs.	ワールドステートは、キー/値ペアのデータベースに格納されています。
The key itself is composed of a unique value, and associated version shows the effect of transactions.	キー自体はユニークな値で構成されており、関連付けられているバージョンはトランザクションの影響を示します。
With each transaction that affects the key, the version associated with the key is advanced.	キーの値を更新するトランザクションごとに、キーに関連付けられているバージョンが進みます。
In Hyperledger Fabric, the Transaction Log contains and append only record of transactions.	Hyperledger Fabricでは、トランザクション ログにはトランザクションの記録のみが含まれ、追加されます。
This record is immutable: once written, the Transaction Log cannot be changed.	この記録は変更不可です。 つまり、一度書き込まれると、トランザクション ログは変更できません。
Together, the Transaction Log and the World State make up the distributed ledger.	トランザクション ログとワールドステートは一緒に分散台帳を構成します。
The Smart Contract Layer in Hyperledger Fabric	Hyperledger Fabricのスマートコントラクト レイヤー
Hyperledger Fabric uses the term chaincode to refer to what most blockchains call a smart contract.	Hyperledger Fabricはチェーンコードという用語を使用しています。 チェーンコードは、多くのブロックチェーンで「スマートコントラクト」と呼ばれるものを指しています。
Chaincode is simply a computer program (written in a programming language such as Golang, Node.js, etc.) which implements a predefined interface.	チェーンコードは、事前定義されたインターフェイスを実装する単なる(Golang、Node.jsなどのプログラミング言語で書かれた) コンピューター プログラムです。
Such programs are compiled, deployed across the network, and executed inside a Docker container, which is completely isolated from the ordering service or the Peer processes.	このようなプログラムはコンパイルされ、ネットワーク全体にデプロイされ、Dockerコンテナ内で実行されます。 Dockerコンテナは、ordering serviceまたはPeerプロセスから完全に分離されています。
Participants can use chaincodes to implement the logic part of the decentralized application, which allows nodes and participants to run and work with the ledger.	参加者は、チェーンコードを使用して非中央集権型アプリケーションのロジック部分を実装できます。 これにより、ノードと参加者は台帳を実行して作業することができます。
This provides the ability to run business logic in a decentralized system (and update the distributed ledger) in a consistent and replicable way.	これにより、一貫性があり、複製可能な方法で非中央集権型システムにおいてビジネスロジックを実行（および分散台帳を更新）することができます。
This is done through the SDKs.	これはSDKを介して行われます。
As the name suggests, deploy transactions are requests to deploy a certain chaincode across the distributed network.	名前が示すように、deployトランザクションは、分散型ネットワーク全体に特定のチェーンコードをデプロイするリクエストです。
If the request to deploy the chaincode is approved, and the chaincode is deployed globally, chaincode invocations can be achieved using invoke transactions which, as the name indicates, are requests to invoke a call to an already deployed chaincode.	チェーンコードのデプロイリクエストが承認され、チェーンコードがグローバルにデプロイされた場合、invokeトランザクションを使用して、チェーンコードの起動を実行できます。 これは、名前が示すように、すでにデプロイされているチェーンコードに対して、invokeするためのリクエストです。
Client applications invoke already deployed chaincode on behalf of the participants through transactions.	クライアント アプリケーションは、トランザクションを通じて参加者に代わってすでにデプロイされているチェーンコードをinvokeします。
Certificate Authority (CA)	​認証局 (CA)
● Registration of Identities	• IDの登録
● Enrollment Certificates (ECerts) issuance	• 登録証明書（ECerts）の発行
● Certificate Renewal/Revocation (using Certificate Revocation Lists - CRLs).	• 証明書の更新/失効（証明書失効リスト - CRLを使用）
Peer	peer
● Can update and query the ledger	• 台帳の更新およびクエリが可能。
● Peers that are endorsers can endorse proposed transactions.	• endorserであるpeerは、proposeされたトランザクションをendorseできる。
These endorsements are being evaluated against the Endorsement Policy (you will play with this in the lab exercises).	提案されたトランザクションを承認できる。 これらのendorsementは、endorsement policy（エンドースメント ポリシー）に照らして評価される（これについては演習で試すことになる）。
● Manage the ledger (both the Transaction Log and the World State).	• 台帳を管理（トランザクション ログとワールドステートの両方）。
Ordering Service	ordering service
● Can be run by one or several nodes	• 1つまたは複数のノードで実行可能
● Creates the actual blocks of the blockchain (by ordering and grouping transactions)	• （トランザクションの順序付けとグループ化によって）ブロックチェーンの実際のブロックを作成
● Peers will commit changes to the ledger only after the transaction has been ordered.	• トランザクションの順序づけ後のみ、peerは台帳への変更を確定
In the Hyperledger Fabric workflow diagram on the previous page, other than having an application using the Hyperledger Fabric SDK to interact with the Fabric CA or the ledger, you can also see three Endorsing Peers and three non-Endorsing Peers (which is just a Committing Peer, or Committer, marked in orange).	前のページのHyperledger Fabricワークフロー図では、Hyperledger Fabric SDKを使用してFabric CAまたは台帳とやりとりするアプリケーションがあることに加え、3つのEndorsing Peersおよび3つのNon-Endorsing Peers（Committing PeerまたはCommitterであり、オレンジ色で表示）も確認できます。
We will get back to this diagram when we dive deeper into the lifecycle of a Hyperledger Fabric transaction, but at this point, you should note that there may be cases where three Endorsing Peers validate and endorse a proposed transaction (the Endorsers are marked in blue), while some other Endorsers do not endorse the proposed transaction.	Hyperledger Fabricトランザクションのライフサイクルをさらに深く掘り下げると、この図に戻りますが、現時点では、3つのEndorsing peersがproposeされたトランザクションを検証してendorseする場合があり得ることに注目してください（Endorserは青色で表示）ことに注意してください。 一方、他のEndorserは提案されたトランザクションをendorseしていません。
Hyperledger Fabric's endorsement model is very flexible in the sense that there is an agreed-upon Endorsement Policy, which basically states under what conditions a transaction is considered endorsed or widely accepted .	Hyperledger Fabricのendorsement modelは、合意されたEndorsement Policyがあるという意味で非常に柔軟です。 これは、基本的にどのような条件下でトランザクションが「endorseされる」つまり「広く受け入れられている」と見なされるかを示します。
In other words, we can look at the endorsement policy in terms of what needs to happen to get a proposed transaction to be approved or marked as valid by the endorsers.	言い換えれば、提案されたトランザクションが「approve」されるか、またはendorserによって「有効」としてマークされるようにするには「何が必要なのか」という観点からendorsement policyを検討することができます。
Transactions must be written to the ledger in the order in which they appear in a block, even though they might be between different sets of participants within the network.	トランザクションは、ネットワーク内の異なる参加者のセット間であっても、ブロックに表示される順序で台帳に書き込まれなければなりません。
For this to happen, the order of transactions must be established, and a method for rejecting bad transactions that have been inserted into the ledger in error (or maliciously) must be put into place.	これを実現するためには、トランザクションの順序を確立し、台帳に誤って（または悪意を持って）挿入された不良トランザクションを拒否する方法を整えなければなりません。
This happens through the setting of a bitmask for bad transactions during validations and is stored locally on every validator's Transaction Log.	これは、検証中に不正なトランザクションのビットマスクを設定することで発生し、すべてのバリデータのトランザクションログにローカルに格納されます。
Summary	まとめ
In this chapter, we familiarized ourselves with Hyperledger and its various frameworks and modules.	この章では、Hyperledgerとそのさまざまなフレームワークやモジュールについて詳しく説明しました。
Then, we dove into the Hyperledger Fabric's modular architecture, its various components and their roles.	そして、Hyperledger Fabricのモジュラー アーキテクチャ、そのさまざまなコンポーネント、およびその役割について深く掘り下げました。
You should now be familiar with more specific Hyperledger Fabric terms (such as chaincode), the key actors in each Hyperledger Fabric network, and the type of nodes that comprise typical Hyperledger Fabric deployments.	（チェーンコードのような）より具体的なHyperledger Fabricの用語、各Hyperledger Fabricネットワークのキー アクター、および一般的なHyperledger Fabricのデプロイを構成するノードの種類について精通しているはずです。
We hope that you are now able to see how some of these components are connected and fit together.	これらのコンポーネントのいくつかがどのように関連し合っているのかも理解できているでしょう。
This is probably a good time for you to start working with Lab 1 and see the components we went over here, in practice.	ですから、このあたりで演習1の作業を開始し、実際にここで行ったコンポーネントを確認してみましょう。
Setting Up a Fabric Network	Fabricネットワークの設定
Hyperledger Fabric Transactions	Hyperledger Fabricトランザクション
By the end of this chapter, you should be able to:	本章の終わりまでに、次のことができるようになります。
● Discuss the concept of World State.	• ワールドステートの概念について説明する。
● Understand how business logic is implemented in Hyperledger Fabric through chaincode.	• ビジネス ロジックが、チェーンコードを介してどのようにHyperledger Fabricに実装されるかを理解する。
● Examine the various Hyperledger Fabric transaction types used to read from and write to the distributed ledger.	• 分散台帳への読み書きに使用されるさまざまなHyperledger Fabricトランザクション タイプを検証する。
The Ledger - A Closer Look	台帳 - 詳細
Previously, we talked about the distributed ledger component, which is comprised of a World State (the versioned list of key-value pairs) and the Transaction Log (the collection of transactions that actually affect the World State).	これまでは、ワールドステート（バージョン管理されたキー/値ペア リスト）とトランザクション ログ（実際にワールドステートを更新するトランザクションの集まり）で構成される分散台帳コンポーネントについて説明しました。
Next, we will take a closer look at these two components.	次に、これら2つの要素について詳しく見ていきます。
Later, we will explore how transactions work.	その後で、トランザクションがどのように機能するのかを検討します。
Ledgers are not a new concept and they have been in use for quite a while.	台帳は新しい概念ではなく、長い間使用されてきました。
Here is a picture of a written German ledger from 1828.	これは1828年から記載されてきたドイツの台帳の写真です。
Such a ledger was used to serve as a permanent summary of all amounts entered in supporting journals which listed individual transactions.	このような台帳は、個々の取引をリスト補助仕訳帳に入力されたすべての金額を恒久的にまとめたものとして機能するように使用されました。
Different ledgers are used to log different types of amounts (a concept which is still in use today for bookkeeping and accounting).	さまざまな台帳がさまざまな種類の金額を記録するために使用されます（簿記および会計に現在でも使用されている概念）。
For example, there are sales ledgers which consist of financial transactions made by customers/buyers, purchase ledgers that record purchases and spending, etc.	たとえば、顧客/購入者によって行われた金融取引からなる販売元帳、購入や支出を記録する購入元帳などがあります。
In general, ledgers are used to list out accounts, liabilities, income, expenses, etc.	一般に、元帳は勘定、負債、収益、費用などを記載するために使用されます。
A digital ledger has a very similar structure.	デジタル台帳は非常によく似た構造を持っています。
In Hyperledger Fabric, the Transaction Log in particular is logically very similar to the ledger we just described (which logs activity == transactions).	Hyperledger Fabricでは、特にトランザクション ログは、先ほど説明した台帳と論理的に非常によく似ています（アクティビティ==トランザクションを”ログ”する」）。
The World State part of the ledger has a similar key (column) and a value column, which are versioned.	台帳のワールドステート部分には、同様の「キー」（列）と「値」列があり、バージョン管理されています。
Using the Transaction Log, we keep track of the transactions that are changing the ledger's World State in each iteration of change, or put differently, in each version.	トランザクション ログを使用して、変更の各「ループ」、別の言い方をすれば、各バージョンにおける台帳のワールドステートを変更しているトランザクションを追跡します。
Just like in a log file, the changes to the World State are carried through transactions that create the next version of the World State.	ログファイルと同じように、ワールドステートへの変更は、ワールドステートの「次のバージョン」を作成するトランザクションによって行われます。
Such changes are added to the ledger's log, in an append-only way.	このような変更は、 アペンド（追加）のみの方法で台帳のログに追加されます。
That is, we always append and not erase or change transactions that are already written to the ledger.	つまり、すでに台帳に書き込まれているトランザクションを常に追加しますが、消去または変更はしません。
This is why you hear so often the term immutable ledger - the written transactions are immutable.	これが「書き換えできない台帳 (immutable ledger)」という言葉をよく耳にする理由です - 書かれたトランザクションは書き換えできないなのです。
This is a similar concept to the permanent summary of the results of all the amounts/transactions entered (or logged ) so far.	これは、これまでに入力された（または「ログに記録された」）すべての金額/取引の結果の恒久的な要約と同様の概念です。
One thing that we would like to emphasize here is that in typical blockchain deployments, and in Hyperledger Fabric in particular, the ledger is distributed among the participants of the blockchain network.	ここで強調したいことの1つは、典型的なブロックチェーン、特にHyperledger Fabricでは、台帳はブロックチェーンネットワークの参加者間に分散されているということです。
The technology and mechanism that are used - such underlying technology is commonly referred to as the DLT (Distributed Ledger Technology).	使用されている技術とメカニズム - そのような基礎技術は一般にDLT（Distributed Ledger Technology：分散台帳技術）と呼ばれています。
So in a line, we have a versioned set of key/value pairs that are distributed among peers.	つまり、一連のバージョン管理された一連のキー/値ペアがpeer間に分散されています。
If we look at the World State as the state of the world , such recorded changes to the state are made through some business logic.	ワールドステートを「世界の状態」と見ると、そのような記録されたステートへの変更は、ビジネス ロジックによって行われます。
If you recall, when we talked about decentralized and distributed systems, we mentioned that one of the key challenges in such systems is to keep things in sync .	非中央中堅型システムと分散型システムについて説明したとき、そのようなシステムにおける重要な課題の1つが物事を”同期させる”ことであると述べました。
For example, we would like all the nodes to run the same version of some logic , or to know that each node in the network is looking at the same version of data. Here is where smart contracts come to the rescue.	たとえば、すべてのノードで同じバージョンの”ロジック”を実行したり、ネットワーク内の各ノードが同じバージョンのデータを参照していることを知る必要があります。
Smart contracts were conceptualized by Nick Szabo in 1994, who suggested that:	スマートコントラクトは1994年にNick Szaboによって作られた概念で、それをこのように説明しています。
a smart contract is a computerized transaction protocol that executes the terms of a contract .	「スマートコントラクトは、契約条件を実行するコンピューター化されたトランザクション プロトコルです。」
While different blockchain frameworks may have different uses, interpretations and/or implementations of a smart contract, let's generalize a bit and look at a smart contract in this context - as a user-defined program that can self-execute some logic.	異なるブロックチェーン フレームワークでは、スマートコントラクトの使用方法、解釈、実装が異なる場合がありますが、少し一般化して、ロジックを自己実行できるユーザー定義プログラムとしてのコンテキストでスマートコントラクトを見てみましょう。
This program is also distributed or replicated across a decentralized system or network - which is also able to disintermediate third parties.	このプログラムは、非中央集権型システムまたはネットワーク全体に分散、または複製されています。これによって、第三者を中抜きすることができます。
For example, a smart contract can be a user-defined portion of code that will transfer a digital asset (or update some values that reflect some balance or ownership) between blockchain participants.	たとえば、スマートコントラクトとは、ブロックチェーン参加者間でデジタル資産を転送（または何らかの残高や所有権を反映する値を更新）するコードのユーザー定義部分のことです。
Chaincode	チェーンコード
Using Hyperledger Fabric's terminology, smart contracts are called chaincode because it's some logic or code which is distributed through the Hyperledger Fabric blockchain.	Hyperledger Fabricの用語を使用すると、スマートコントラクトはチェーンコードと呼ばれます。 Hyperledger Fabricブロックチェーンを通じて配布されるロジックまたはコードであるからです。
An important thing to emphasize here is that the chaincode (or smart contract) just moved tokens (or assets) between two parties (Alice and Bob) without an intermediary - that is, without a third party (or a man-in-the-middle).	ここで強調しておくべき重要な点は、チェーンコード（またはスマートコントラクト）が仲介者なし、つまり第三者なしで（または間に人を入れずに）二者間（AliceとBob）でトークン（または資産）を「移動」したことです。
Many blockchain advocates really appreciate the potential of blockchain technology as a means to facilitate such direct transactions (or asset transfers) without the need for both parties to go to a third party (which in many cases both parties need to trust).	多くのブロックチェーン推奨者は、双方が第三者（多くの場合、双方を信頼することが必要）に行かなくてもそのような直接取引（または資産転送）を容易にする手段としてのブロックチェーン技術の可能性を高く評価します。
For example, in today's non-decentralized world, when using US Dollars for example, bank transfers, title registrations or updates (e.g. registering or selling a car or a house) require at least one more party in the middle - in the United States, this intermediary can be the DMV (Department of Motor Vehicles), a title registration body, the parties' banks, and, in many cases, also a central clearing house.	たとえば、今日の非分散型の世界では、たとえば米ドルを使用する場合、銀行振込、所有権登録、または更新（車や家の登録または販売など）には、仲介する関係者が少なくとももう1つの必要です。 米国ではこの仲介者は、DMV（Department of Motor Vehicles）、所有権登録機関、当事者の銀行、そして多くの場合、中央決済機関である可能性があります。
Blockchain technology in general, and Hyperledger Fabric in particular, are regarded as upcoming and promising technology with the potential to disrupt and disintermediate many such digital asset transfers, or updates to the World State using valid transactions.	一般にブロックチェーン技術、特にHyperledger Fabricは、デジタル資産の移転や有効なトランザクションを使用したワールドステートへの更新を中断したり、仲介者を中抜きする可能性を持つ、今後の有望な技術と見なされています。
Excited?	わくわくしましたか?
So were we when we first learned about this technology.	私たちがこの技術について初めて知った時もそうでした。
Next, let's see how such user-defined programs, called chaincodes, are used to change the ledger's state.	次に、チェーンコードと呼ばれるこのようなユーザー定義プログラムを使用して台帳のステートを変更する方法を見てみましょう。
Chaincode is used to initialize and manage the ledger state through transactions submitted by participants or their applications.	チェーンコードは参加者または参加者のアプリケーションによって送信されたトランザクションを通じて、台帳の状態を初期化および管理するために使用されます。
Let's take a look at how this works.	どのように機能するか見てみましょう。
Transactions: Deploy	トランザクション：deploy
Users (running client applications) that would like to add some logic to the blockchain they are part of can write their business logic or chaincode, and then request the blockchain network to deploy it.	自分が属するブロックチェーンにロジックを追加したい（クライアント アプリケーションを実行している）ユーザーは、ビジネス ロジックまたはチェーンコードを記述してから、ブロックチェーン ネットワークにそれをデプロイするようにリクエストできます。
Users write their code (in Golang, Node.js, etc.) against the Hyperledger Fabric chaincode interface.	ユーザーは自分のコードを（Golang、Node.jsなどで）Hyperledger Fabricチェーンコード インターフェイスに対して書きます。
An example of a chaincode written in Go language can be found further in this chapter in the Anatomy of Chaincode section.	Go言語で書かれたチェーンコードの例は、この章の チェーンコードの構造のセクションで紹介します。
Once the code is written (the coding, debugging can be done separately), the client application can use the SDK to deploy a chaincode through a Hyperledger Fabric transaction.	コードが記述されると（コーディング、デバッグは別々に実行できます）、クライアント アプリケーションはSDKを使用してHyperledger Fabricトランザクションを通してチェーンコードをデプロイできます。
Effectively, a deploy transaction is a request to deploy a certain chaincode across the distributed network.	実際には、deployトランザクションは、分散型ネットワーク全体に特定のチェーンコードを配置するリクエストを行います。
This requires rights to deploy the chaincode as proven by the signatures attached to the certificates of deployment.	これには、チェーンコードをdeployする権限が必要です。 権限はdeployトランザクションに対する電子署名を検証することで確認できます。
The chaincode must be then installed and instantiated to be properly deployed.	次に、チェーンコードをインストールしてインスタンス化し、適切にdeployする必要があります。
Upon success, the requested chaincode has been deployed to the blockchain network.	成功すると、リクエストされたチェーンコードはブロックチェーン ネットワークにdeployされます。
Transactions: Invoke	トランザクション：invoke
Invoke transactions are requests to call (or yes, invoke ) an already deployed chaincode.	invokeトランザクションは、すでにデプロイされているチェーンコードを呼び出す（つまり”invoke”する）リクエストです。
That is, when a user or a client application would like to make a change to the ledger's state, they use the SDK to propose that all the peers will make the change that will be made by the requested chaincode invocation.	つまり、ユーザーまたはクライアント アプリケーションが台帳のステートを変更する場合、SDKを使用して、すべてのpeerがリクエストされたチェーンコードの呼び出しによって行われる変更を行うことを提案します。
This part of the design resembles a database stored procedure, where such calls to the database stored procedure are done through Hyperledger Fabric (invoke) transactions.	このデザイン部分は、データベース ストアド プロシージャに似ています。 データベース ストアド プロシージャの呼び出しがHyperledger Fabric（invoke）トランザクションを通して行われるところです。
We will not get too much into it, but we should mention that a chaincode that is being invoked runs in a secured Docker container.	あまり詳細については触れませんが、呼び出されているチェーンコードはセキュリティ保護されたDockerコンテナ内で実行されることに注意してください。
The exact details of what happens during invocation can be seen in the Anatomy of Chaincode section, but in short, this type of transaction calls the Invoke function from the chaincode while passing the operation name (generally referred to as function name ) and parameters for the transaction.	invoke中に何が起こるかの正確な詳細は、 チェーンコードの構造の項で説明しますが、要するに、このタイプのトランザクションはオペレーション名（一般に 関数名と呼ばれる）とトランザクションのパラメーターを渡す一方、チェーンコードからInvoke関数を呼び出します。
Of course, the chaincode has to be properly deployed, installed and instantiated before Invoke can be executed on it.	もちろん、invokeを実行する前にチェーンコードを正しくデプロイ、インストール、およびインスタンス化しなければなりません。
Transactions: Query	トランザクション：query
